no,kota,kode_wilayah,provinsi
385,Kabupaten Pulau Morotai,82.07,Maluku Utara
386,Kabupaten Pulau Taliabu,82.08,Maluku Utara
387,Kabupaten Puncak,94.05,Papua Tengah
388,Kabupaten Puncak Jaya,94.02,Papua Tengah
389,Kabupaten Purbalingga,33.03,Jawa Tengah
390,Kabupaten Purwakarta,32.14,Jawa Barat
391,Kabupaten Purworejo,33.06,Jawa Tengah
392,Kabupaten Raja Ampat,92.05,Papua Barat Daya
393,Kabupaten Rejang Lebong,17.02,Bengkulu
394,Kabupaten Rembang,33.17,Jawa Tengah
395,Kabupaten Rokan Hilir,14.07,Riau
396,Kabupaten Rokan Hulu,14.06,Riau
397,Kabupaten Rote Ndao,53.14,Nusa Tenggara Timur (NTT)
398,Kota Sabang,11.72,Aceh (NAD)
399,Kabupaten Sabu Raijua,53.20,Nusa Tenggara Timur (NTT)
400,Kota Salatiga,33.73,Jawa Tengah
401,Kota Samarinda,64.72,Kalimantan Timur
402,Kabupaten Sambas,61.01,Kalimantan Barat
403,Kabupaten Samosir,12.17,Sumatera Utara
404,Kabupaten Sampang,35.27,Jawa Timur
405,Kabupaten Sanggau,61.03,Kalimantan Barat
406,Kabupaten Sarmi,91.10,Papua
407,Kabupaten Sarolangun,15.03,Jambi
408,Kota Sawahlunto,13.73,Sumatera Barat
409,Kabupaten Sekadau,61.09,Kalimantan Barat
410,Kabupaten Seluma,17.05,Bengkulu
411,Kabupaten Semarang,33.22,Jawa Tengah
412,Kota Semarang,33.74,Jawa Tengah
413,Kabupaten Seram Bagian Barat,81.06,Maluku
414,Kabupaten Seram Bagian Timur,81.05,Maluku
415,Kota Serang,36.73,Banten
416,Kabupaten Serang,36.04,Banten
417,Kabupaten Serdang Bedagai,12.18,Sumatera Utara
418,Kabupaten Seruyan,62.07,Kalimantan Tengah
419,Kabupaten Siak,14.08,Riau
420,Kota Sibolga,12.73,Sumatera Utara
421,Kabupaten Sidenreng Rappang,73.14,Sulawesi Selatan
422,Kabupaten Sidoarjo,35.15,Jawa Timur
